tempo_s,bpm_ecg
476.59,92.31
477.22,95.54
477.86,93.46
478.49,95.24
479.09,99.34
479.69,100.67
480.31,97.40
480.95,93.46
481.62,89.82
482.28,90.36
482.92,94.34
483.55,94.64
484.21,90.36
