tempo_s,bpm_ecg
417.00,86.96
417.73,82.19
418.50,77.92
419.31,74.07
420.09,76.92
420.90,74.81
421.72,72.99
422.52,74.81
423.31,75.95
424.11,75.38
424.91,75.00
425.67,78.33
426.44,78.12
427.19,79.79
427.92,82.42
428.68,79.37
429.44,78.74
430.23,75.57
430.97,81.30
431.73,79.37
432.49,78.95
433.26,77.12
434.02,79.37
434.80,77.12
435.58,76.73
436.36,76.53
437.10,81.52
437.85,79.58
438.60,80.65
439.34,80.43
440.09,80.65
440.81,83.33
441.54,81.52
442.30,79.37
443.03,82.42
443.76,81.52
444.50,81.52
445.22,82.87
445.96,81.30
446.71,80.43
447.47,78.95
448.23,78.33
448.96,82.64
449.68,82.87
450.40,83.57
451.10,85.71
451.83,82.87
452.56,81.74
453.34,77.12
454.13,75.57
454.93,75.00
455.70,78.33
456.40,85.23
457.10,85.47
457.78,88.24
458.47,87.98
459.16,86.96
459.83,89.02
460.50,89.29
461.17,89.55
461.85,88.76
462.54,86.46
463.26,83.57
463.98,83.10
464.73,80.00
465.52,76.34
466.33,73.53
467.16,72.82
467.90,80.43
468.64,81.52
469.37,82.42
470.05,87.72
470.73,87.98
471.39,90.91
472.05,90.91
472.76,85.23
473.52,78.74
474.26,81.52
475.00,80.86
475.78,77.12
476.58,74.81
477.38,75.00
478.17,75.95
478.92,79.79
479.69,78.33
480.49,75.00
481.32,71.94
482.18,69.93
483.03,70.42
483.90,68.97
484.80,66.96
485.72,64.66
486.64,65.36
